epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,684.71,1.87912,1.67968,1.23986,0.66826,0.55499,0.60686,0.35001,1.76195,1.57787,1.4702,0.000554676,0.000554676,0.000554676
2,2092.3,1.59373,1.06325,1.11857,0.75821,0.58855,0.66374,0.40408,1.86477,1.57394,1.55709,0.00108836,0.00108836,0.00108836
3,2406.53,1.53519,0.98192,1.09802,0.77328,0.6088,0.68735,0.42777,1.70365,1.46942,1.44732,0.00160004,0.00160004,0.00160004
4,3060.24,1.46162,0.91651,1.07798,0.81853,0.62012,0.71338,0.4617,1.74793,1.29267,1.5058,0.00156798,0.00156798,0.00156798
5,3374.95,1.41224,0.8758,1.06004,0.82527,0.64519,0.73841,0.48793,1.68348,1.34094,1.46095,0.00153497,0.00153497,0.00153497
6,3724.82,1.36969,0.84641,1.0515,0.8294,0.65604,0.75076,0.49381,1.58547,1.21155,1.40968,0.00150197,0.00150197,0.00150197
7,4011.99,1.35035,0.82571,1.04319,0.84974,0.67041,0.76193,0.51197,1.57138,1.19286,1.38777,0.00146896,0.00146896,0.00146896
8,5336.77,1.31716,0.79579,1.02658,0.83717,0.6743,0.76846,0.51857,1.51834,1.0696,1.32791,0.00143595,0.00143595,0.00143595
9,6617.4,1.30775,0.79173,1.02649,0.86629,0.6662,0.77454,0.52819,1.52242,1.15908,1.34618,0.00140295,0.00140295,0.00140295
10,7176.16,1.29845,0.78065,1.02296,0.86072,0.68308,0.77963,0.53314,1.46301,1.07839,1.29648,0.00136994,0.00136994,0.00136994
11,7528.45,1.26173,0.7608,1.01289,0.86358,0.6888,0.78608,0.54138,1.50021,1.11685,1.35734,0.00133693,0.00133693,0.00133693
12,8139.23,1.24247,0.74826,1.01483,0.84202,0.69142,0.7774,0.53693,1.45971,1.15321,1.28389,0.00130393,0.00130393,0.00130393
