epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.918,2.05751,1.80776,1.3441,0.68049,0.48743,0.56557,0.30298,1.8526,1.42846,1.36,0.00066497,0.00066497,0.00066497
2,295.097,1.77102,1.23255,1.20447,0.72978,0.53503,0.61804,0.35327,1.74352,1.25919,1.28966,0.0013128,0.0013128,0.0013128
3,461.085,1.68832,1.13497,1.18179,0.71409,0.53442,0.62483,0.34574,1.75023,1.255,1.31012,0.00194178,0.00194178,0.00194178
4,596.272,1.62042,1.06223,1.15565,0.77193,0.57283,0.67501,0.39698,1.66078,1.13654,1.24597,0.00191514,0.00191514,0.00191514
5,739.854,1.56211,1.00878,1.13221,0.7619,0.59462,0.68992,0.42399,1.57807,1.07217,1.21229,0.00188686,0.00188686,0.00188686
6,948.315,1.52825,0.98172,1.11916,0.7855,0.62249,0.71886,0.444,1.53939,1.04078,1.19378,0.00185857,0.00185857,0.00185857
7,1109.91,1.52633,0.9698,1.11964,0.78966,0.62411,0.72903,0.44889,1.53193,1.0461,1.19168,0.00183029,0.00183029,0.00183029
8,1263.34,1.48442,0.93108,1.10554,0.80236,0.6235,0.73773,0.46253,1.48381,0.99218,1.15858,0.001802,0.001802,0.001802
9,1437.17,1.44855,0.91129,1.09421,0.80874,0.63561,0.74128,0.45997,1.51073,0.99181,1.17098,0.00177371,0.00177371,0.00177371
10,1617.66,1.44662,0.90249,1.09207,0.81399,0.63899,0.74584,0.47328,1.4784,1.00962,1.16358,0.00174543,0.00174543,0.00174543
11,1772.17,1.42344,0.88776,1.08134,0.8066,0.64388,0.74686,0.47463,1.47437,0.96127,1.16184,0.00171714,0.00171714,0.00171714
12,2060.29,1.42831,0.88596,1.0839,0.82411,0.65383,0.76427,0.48501,1.46695,0.92484,1.1486,0.00168886,0.00168886,0.00168886
