epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6357,2.90866,2.09128,1.34222,0.4396,0.28318,0.27957,0.10611,2.47783,1.48136,1.20732,0.000665094,0.000665094,0.000665094
2,83.4354,2.56316,1.47082,1.19231,0.48599,0.32502,0.33235,0.13729,2.33728,1.48631,1.1983,0.00130539,0.00130539,0.00130539
3,122.082,2.44514,1.38356,1.16376,0.47683,0.34627,0.34369,0.13254,2.34929,1.46319,1.18554,0.00191929,0.00191929,0.00191929
4,160.476,2.37077,1.3245,1.14544,0.53922,0.34945,0.37271,0.15406,2.29129,1.38289,1.19222,0.0018812,0.0018812,0.0018812
5,198.808,2.27938,1.27876,1.12899,0.5678,0.38848,0.41484,0.19023,2.08009,1.20542,1.13125,0.0018416,0.0018416,0.0018416
6,236.967,2.21521,1.23039,1.10577,0.58417,0.40567,0.43977,0.21179,1.9832,1.17315,1.11282,0.001802,0.001802,0.001802
7,275.076,2.19601,1.20884,1.09453,0.61429,0.4036,0.44877,0.21317,2.02366,1.15436,1.11386,0.0017624,0.0017624,0.0017624
8,313.329,2.18037,1.20051,1.08724,0.57779,0.40143,0.43191,0.20148,2.00698,1.14152,1.10009,0.0017228,0.0017228,0.0017228
9,351.327,2.11268,1.15272,1.07091,0.6103,0.42525,0.46549,0.22998,1.93547,1.13154,1.08306,0.0016832,0.0016832,0.0016832
10,389.254,2.1072,1.14445,1.07197,0.62021,0.42046,0.46714,0.23223,1.93613,1.10792,1.09243,0.0016436,0.0016436,0.0016436
11,426.897,2.09455,1.14196,1.06589,0.62904,0.41698,0.46474,0.22309,1.96723,1.09561,1.101,0.001604,0.001604,0.001604
12,465.01,2.07107,1.1339,1.06682,0.62894,0.42859,0.47696,0.24087,1.89542,1.07261,1.08381,0.0015644,0.0015644,0.0015644
13,502.63,2.06746,1.12128,1.0617,0.62653,0.4351,0.48356,0.24783,1.8669,1.05867,1.07536,0.0015248,0.0015248,0.0015248
14,540.434,2.02174,1.10528,1.05934,0.63763,0.43674,0.49323,0.25052,1.85417,1.04456,1.07027,0.0014852,0.0014852,0.0014852
15,578.4,2.01025,1.08965,1.05326,0.65735,0.43777,0.49524,0.25453,1.82374,1.03854,1.06597,0.0014456,0.0014456,0.0014456
16,616.149,1.99116,1.07949,1.04545,0.66639,0.44797,0.50913,0.26407,1.80574,0.99818,1.06814,0.001406,0.001406,0.001406
17,654.14,1.99358,1.0764,1.04427,0.67191,0.45513,0.51302,0.26466,1.79508,1.02732,1.06267,0.0013664,0.0013664,0.0013664
18,692.07,1.9412,1.05782,1.0424,0.67307,0.45256,0.51275,0.26924,1.76888,1.0168,1.0521,0.0013268,0.0013268,0.0013268
19,729.909,1.97217,1.06219,1.04055,0.67354,0.44796,0.5076,0.26511,1.7815,1.02451,1.05354,0.0012872,0.0012872,0.0012872
20,767.441,1.95646,1.05038,1.03463,0.67161,0.45256,0.5117,0.26992,1.76711,0.99238,1.05032,0.0012476,0.0012476,0.0012476
21,806.805,1.9279,1.03678,1.02925,0.67667,0.45248,0.51332,0.26717,1.78707,1.00059,1.05707,0.001208,0.001208,0.001208
